Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Access Type,Source,EID
"Barros N.N., Ruschel R.C.","57214410064;6507278254;","Machine Learning for Whole-Building Life Cycle Assessment: A Systematic Literature Review",2021,"Lecture Notes in Civil Engineering","98",,,"109","122",,,"10.1007/978-3-030-51295-8_10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088473635&doi=10.1007%2f978-3-030-51295-8_10&partnerID=40&md5=7844618f6e59050912d070fde7db7559","University of Campinas, Campinas, Brazil","Barros, N.N., University of Campinas, Campinas, Brazil; Ruschel, R.C., University of Campinas, Campinas, Brazil","Life Cycle Assessment (LCA) is a methodology to systematically investigating impacts from interactions between environment and human activities. However, the number of parameters and uncertainty factors that characterize built impacts over their full-lifecycle, preclude a broader LCA adoption. This enable faster progress towards reducing building impacts by combining established environmental impact assessment methods with artificial intelligence approaches, such as machine learning (ML) and neural networks. This article will present previous research on ML for LCA of buildings. To achieve this goal, we perform a Systematic Literature Review (SLR). SLR was governed by the question “What are scientific research developed for Architecture, Engineering and Construction (AEC) industry in LCA and ML context?”. This SLR was performed in three databases: Scopus, Engineering Village and Web of Science, using keywords: Life Cycle Assessment, Machine Learning, Learning, Building and Neural Network. From SLR, we identified best practices, acquired and developed by other studies, clarifying how to interpret large data sets monitored through advanced analysis to improve LCA. The results showed: (i) number of articles increase in recent years; (ii) the most searched environmental indicators are energy consumption and Global Warming Potential (GWP); (iii) machine learning is mainly used for prediction impacts and; (iv) the most used ML method is Artificial Neural Networks. Advances in LCA and ML field can contribute to calculation and analysis of buildings environmental indicators, as well as can develop and improve LCA methods. The combination of reliable data and ML will produce an unprecedented change in speed and accuracy of LCA. © 2021, The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG.","Life cycle assessment; Machine learning; Neural networks","Buildings; Energy utilization; Environmental impact; Environmental impact assessments; Global warming; Machine learning; Neural networks; Architecture , engineering and construction industries; Environmental indicators; Global warming potential; Life Cycle Assessment (LCA); Scientific researches; Systematic literature review; Systematic literature review (SLR); Uncertainty factors; Life cycle","Barros, N.N.; University of CampinasBrazil; email: natalianakamura.arq@gmail.com",,"Springer",23662557,,,,"English","Lect. Notes Civ. Eng.",Book Chapter,"Final",,Scopus,2-s2.0-85088473635
"Felizardo K.R., de Souza É.F., Napoleão B.M., Vijaykumar N.L., Baldassarre M.T.","35248128000;56194341700;57195679491;6602212981;7006753985;","Secondary studies in the academic context: A systematic mapping and survey",2020,"Journal of Systems and Software","170",, 110734,"","",,,"10.1016/j.jss.2020.110734","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088403569&doi=10.1016%2fj.jss.2020.110734&partnerID=40&md5=02101d7f95c854d2e273d145575b93ec","Department of Computer, Federal University of Technology - Paraná - UTFPR, Cornélio Procópio - Paraná, Brazil; National Institute for Space Research (INPE), Laboratory of Computing and Applied mathematics (LAC), São José dos Campos, São Paulo, Brazil; Federal University of São Paulo (Unifesp), Institute of Science & Technology (ICT), São José dos Campos, São Paulo, Brazil; Università degli Studi di Bari Aldo Moro, Università di Bari, Piazza Umberto I, Bari, Italy","Felizardo, K.R., Department of Computer, Federal University of Technology - Paraná - UTFPR, Cornélio Procópio - Paraná, Brazil; de Souza, É.F., Department of Computer, Federal University of Technology - Paraná - UTFPR, Cornélio Procópio - Paraná, Brazil; Napoleão, B.M., Department of Computer, Federal University of Technology - Paraná - UTFPR, Cornélio Procópio - Paraná, Brazil; Vijaykumar, N.L., National Institute for Space Research (INPE), Laboratory of Computing and Applied mathematics (LAC), São José dos Campos, São Paulo, Brazil, Federal University of São Paulo (Unifesp), Institute of Science & Technology (ICT), São José dos Campos, São Paulo, Brazil; Baldassarre, M.T., Università degli Studi di Bari Aldo Moro, Università di Bari, Piazza Umberto I, Bari, Italy","Context: Several researchers have reported their experiences in applying secondary studies (Systematic Literature Reviews — SLRs and Systematic Mappings — SMs) in Software Engineering (SE). However, there is still a lack of studies discussing the value of performing secondary studies in an academic context. Goal: The main goal of this study is to provide an overview on the use of secondary studies in an academic context. Method: Two empirical research methods were used. Initially, we conducted a SM to identify the available and relevant studies on the use of secondary studies as a research methodology for conducting SE research projects. Secondly, a survey was performed with 64 SE researchers to identify their perception related to the value of performing secondary studies to support their research projects. Results: Our results show benefits of using secondary studies in the academic context, such as providing an overview of the literature as well as identifying relevant research literature on a research area enabling to find reasons to explain why a research project should be approved for a grant and/or supporting decisions made in a research project. Difficulties faced by SE graduate students with secondary studies are that they tend to be conducted by a team and it demands more effort than a traditional review. Conclusions: Secondary studies are valuable to graduate students. They should consider conducting a secondary study for their research project due to the benefits and contributions provided to develop the overall project. However, the advice of an experienced supervisor is essential to avoid bias. In addition, the acquisition of skills can increase student's motivation to pursue their research projects and prepare them for both academic or industrial careers. © 2020 Elsevier Inc.","Education; Secondary studies; Systematic literature review; Systematic mapping","Mapping; Software engineering; Students; Surveys; Empirical research method; Graduate students; Industrial careers; Research methodologies; Systematic literature review; Systematic mapping; Industrial research","de Souza, É.F.; Department of Computer, Federal University of Technology - Paraná - UTFPR, Cornélio Procópio - ParanáBrazil; email: ericasouza@utfpr.edu.br",,"Elsevier Inc.",01641212,,JSSOD,,"English","J Syst Software",Article,"Final",,Scopus,2-s2.0-85088403569
"Doetzer M.","57217145522;","The role of national culture on supply chain visibility: Lessons from Germany, Japan, and the USA",2020,"International Journal of Production Economics","230",, 107829,"","",,,"10.1016/j.ijpe.2020.107829","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086468061&doi=10.1016%2fj.ijpe.2020.107829&partnerID=40&md5=95549c0623970a7472f325613a9452a0","Otto-Friedrich-Universität Bamberg, Feldkirchenstraße 21, Bamberg, 96052, Germany; Keio University, 4-1-1, Kohoku-ku, Yokohama, Kanagawa  223-8526, Japan; Kellogg School of Management, 2211 Campus Dr, EvanstonIL  60208, United States","Doetzer, M., Otto-Friedrich-Universität Bamberg, Feldkirchenstraße 21, Bamberg, 96052, Germany, Keio University, 4-1-1, Kohoku-ku, Yokohama, Kanagawa  223-8526, Japan, Kellogg School of Management, 2211 Campus Dr, EvanstonIL  60208, United States","With increasing supply chain complexity, companies strive to enhance the visibility in their supply chains, but with a spanning network across national borders, it is essential to consider dissimilar cultural behavior. Thus, this paper aims to analyze the role of dissimilar national-cultural behaviors on supply chain visibility (SCV), and to evaluate how companies can adapt to these behavioral characteristics to increase SCV internationally. The methodology of the paper is twofold. First, the paper engages in a systematic literature review (SLR) evaluating behavioral characteristics for SCV enhancement. Because of a multi-interpretable nature of existing literature, the study then follows a qualitative approach, including 49 transcribed semi-structured interviews with supply chain experts from 30 companies in Germany, Japan, and the USA. The findings indicate that SCV-enhancing behaviors differ based on cultural characteristics. However, the single consideration of these characteristics possesses an interpretable nature resulting in a paradoxical situation. By this, the findings indicate that similar cultural dimensional characteristics can be dissimilar based on the influence of other dimensional factors. Overall, this study provides an indication of the importance of national culture for SCV, and the relevance of cultural adaption to enhancing SCV. Through this, it opens the door for further research in this field. The three countries selected can be used as a proxy to measure similar cultures based on Hofstede's cultural dimension model (2001), and thus the contribution strives for analytical generalizability beyond the three countries. © 2020 Elsevier B.V.","Culture; Germany; Japan; Supply chain visibility; USA","Visibility; Behavioral characteristics; Hofstede's cultural dimensions; National cultures; Qualitative approach; Semi structured interviews; Supply chain complexity; Supply chain visibility; Systematic literature review (SLR); Supply chains","Doetzer, M.; Otto-Friedrich-Universität Bamberg, Feldkirchenstraße 21, Germany; email: mathias.doetzer@uni-bamberg.de",,"Elsevier B.V.",09255273,,IJPCE,,"English","Int J Prod Econ",Article,"Final",,Scopus,2-s2.0-85086468061
"Wohlin C., Mendes E., Felizardo K.R., Kalinowski M.","35547332200;7103403410;35248128000;8288075800;","Guidelines for the search strategy to update systematic literature reviews in software engineering",2020,"Information and Software Technology","127",, 106366,"","",,,"10.1016/j.infsof.2020.106366","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086562618&doi=10.1016%2fj.infsof.2020.106366&partnerID=40&md5=a4d1aab8c5c2dee49934d9c1a475b4bc","Department of Software Engineering, Blekinge Institute of Technology, Karlskrona, Sweden; Department of Computing, Federal Technological University of Paraná, Cornélio Procópio, Brazil; Department of Computer Science, Blekinge Institute of Technology, Karlskrona, Sweden; Department of Informatics, Pontifical Catholic University of Rio de Janeiro, Rio de Janeiro, Brazil","Wohlin, C., Department of Software Engineering, Blekinge Institute of Technology, Karlskrona, Sweden; Mendes, E., Department of Computer Science, Blekinge Institute of Technology, Karlskrona, Sweden; Felizardo, K.R., Department of Computing, Federal Technological University of Paraná, Cornélio Procópio, Brazil; Kalinowski, M., Department of Informatics, Pontifical Catholic University of Rio de Janeiro, Rio de Janeiro, Brazil","Context: Systematic Literature Reviews (SLRs) have been adopted within Software Engineering (SE) for more than a decade to provide meaningful summaries of evidence on several topics. Many of these SLRs are now potentially not fully up-to-date, and there are no standard proposals on how to update SLRs in SE. Objective: The objective of this paper is to propose guidelines on how to best search for evidence when updating SLRs in SE, and to evaluate these guidelines using an SLR that was not employed during the formulation of the guidelines. Method: To propose our guidelines, we compare and discuss outcomes from applying different search strategies to identify primary studies in a published SLR, an SLR update, and two replications in the area of effort estimation. These guidelines are then evaluated using an SLR in the area of software ecosystems, its update and a replication. Results: The use of a single iteration forward snowballing with Google Scholar, and employing as a seed set the original SLR and its primary studies is the most cost-effective way to search for new evidence when updating SLRs. Furthermore, the importance of having more than one researcher involved in the selection of papers when applying the inclusion and exclusion criteria is highlighted through the results. Conclusions: Our proposed guidelines formulated based upon an effort estimation SLR, its update and two replications, were supported when using an SLR in the area of software ecosystems, its update and a replication. Therefore, we put forward that our guidelines ought to be adopted for updating SLRs in SE. © 2020","Searching for evidence; Snowballing; Software engineering; Systematic literature review update; Systematic literature reviews","Cost effectiveness; Ecosystems; Iterative methods; Cost effective; Effort Estimation; Google scholar; Inclusion and exclusions; Search strategies; Seed set; Software ecosystems; Systematic literature review; Software engineering","Wohlin, C.; Department of Software Engineering, Blekinge Institute of TechnologySweden; email: claes.wohlin@bth.se",,"Elsevier B.V.",09505849,,ISOTE,,"English","Inf Software Technol",Article,"Final",Open Access,Scopus,2-s2.0-85086562618
"Lwakatare L.E., Raj A., Crnkovic I., Bosch J., Olsson H.H.","56728797500;57202784866;6701375391;56675290800;24335916300;","Large-scale machine learning systems in real-world industrial settings: A review of challenges and solutions",2020,"Information and Software Technology","127",, 106368,"","",,,"10.1016/j.infsof.2020.106368","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087690796&doi=10.1016%2fj.infsof.2020.106368&partnerID=40&md5=39ff261482f573a45f895642acbd9059","Department of Computer Science and Engineering, Chalmers University of Technology, Hörselgången 11, Gothenburg, 412 96, Sweden; Department of Computer Science and Media Technology, Malmö University, Nordenskiöldsgatan 1, Malmö, 211 19, Sweden","Lwakatare, L.E., Department of Computer Science and Engineering, Chalmers University of Technology, Hörselgången 11, Gothenburg, 412 96, Sweden; Raj, A., Department of Computer Science and Engineering, Chalmers University of Technology, Hörselgången 11, Gothenburg, 412 96, Sweden; Crnkovic, I., Department of Computer Science and Engineering, Chalmers University of Technology, Hörselgången 11, Gothenburg, 412 96, Sweden; Bosch, J., Department of Computer Science and Engineering, Chalmers University of Technology, Hörselgången 11, Gothenburg, 412 96, Sweden; Olsson, H.H., Department of Computer Science and Media Technology, Malmö University, Nordenskiöldsgatan 1, Malmö, 211 19, Sweden","Background: Developing and maintaining large scale machine learning (ML) based software systems in an industrial setting is challenging. There are no well-established development guidelines, but the literature contains reports on how companies develop and maintain deployed ML-based software systems. Objective: This study aims to survey the literature related to development and maintenance of large scale ML-based systems in industrial settings in order to provide a synthesis of the challenges that practitioners face. In addition, we identify solutions used to address some of these challenges. Method: A systematic literature review was conducted and we identified 72 papers related to development and maintenance of large scale ML-based software systems in industrial settings. The selected articles were qualitatively analyzed by extracting challenges and solutions. The challenges and solutions were thematically synthesized into four quality attributes: adaptability, scalability, safety and privacy. The analysis was done in relation to ML workflow, i.e. data acquisition, training, evaluation, and deployment. Results: We identified a total of 23 challenges and 8 solutions related to development and maintenance of large scale ML-based software systems in industrial settings including six different domains. Challenges were most often reported in relation to adaptability and scalability. Safety and privacy challenges had the least reported solutions. Conclusion: The development and maintenance on large-scale ML-based systems in industrial settings introduce new challenges specific for ML, and for the known challenges characteristic for these types of systems, require new methods in overcoming the challenges. The identified challenges highlight important concerns in ML system development practice and the lack of solutions point to directions for future research. © 2020 Elsevier B.V.","Challenges; Industrial settings; Machine learning systems; SLR; Software engineering; Solutions","Computer software; Data acquisition; Machine learning; Scalability; Different domains; Industrial settings; Large-scale machine learning; Ml systems; Quality attributes; Real-world; Software systems; Systematic literature review; Computer software maintenance","Lwakatare, L.E.; Department of Computer Science and Engineering, Chalmers University of Technology, Hörselgången 11, Sweden; email: llucy@chalmers.se",,"Elsevier B.V.",09505849,,ISOTE,,"English","Inf Software Technol",Article,"Final",,Scopus,2-s2.0-85087690796
"Akbar M.A., Shameem M., Mahmood S., Alsanad A., Gumaei A.","57200183503;57188991787;8644998900;57202079542;55332296700;","Prioritization based Taxonomy of Cloud-based Outsource Software Development Challenges: Fuzzy AHP analysis",2020,"Applied Soft Computing Journal","95",, 106557,"","",,,"10.1016/j.asoc.2020.106557","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088236538&doi=10.1016%2fj.asoc.2020.106557&partnerID=40&md5=087beafe62fdbd589201be84c7dae502","College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China; Department of Computer Applications, Madanapalle Institute of Technology and Science, Madanapalle, AP, India; Information and Computer Science Department, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia; STC's Artificial Intelligence Chair, Department of Information Systems, College of Computer and Information Sciences, King Saud University, Riyadh, 11451, Saudi Arabia","Akbar, M.A., College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China; Shameem, M., Department of Computer Applications, Madanapalle Institute of Technology and Science, Madanapalle, AP, India; Mahmood, S., Information and Computer Science Department, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia; Alsanad, A., STC's Artificial Intelligence Chair, Department of Information Systems, College of Computer and Information Sciences, King Saud University, Riyadh, 11451, Saudi Arabia; Gumaei, A., STC's Artificial Intelligence Chair, Department of Information Systems, College of Computer and Information Sciences, King Saud University, Riyadh, 11451, Saudi Arabia","Cloud-Based Outsource Software Development (COSD) is a new methodology adopted by organizations to develop software using teams of knowledge workers located across the globe using cloud computing services. However, there is a lack of understanding of challenges associated with successful execution of COSD projects. The objective of this study is to identify and prioritize the challenges that influence COSD projects. First, we conducted a Systematic Literature Review (SLR) and identified 21 challenges that impact COSD projects. Next, a questionnaire survey was developed based on the SLR findings to collect feedback from industry practitioners. Finally, we applied the Fuzzy Analytical Hierarchy Process (FAHP) to rank the identified challenges for COSD projects. We also present a prioritization-based taxonomy of the identified challenges which will help practitioners to focus on the critical areas for successful implementation of COSD projects. © 2020","Challenges; Cloud-based outsource software development (COSD); Fuzzy analytical hierarchy process (FAHP)","Surveys; Taxonomies; Cloud computing services; Cloud-based; Fuzzy AHP; Fuzzy analytical hierarchy process; Knowledge workers; Prioritization; Questionnaire surveys; Systematic literature review (SLR); Software design","Akbar, M.A.; College of Computer Science and Technology, Nanjing University of Aeronautics and AstronauticsChina; email: azeem.akbar@ymail.com",,"Elsevier Ltd",15684946,,,,"English","Appl. Soft Comput. J.",Article,"Final",,Scopus,2-s2.0-85088236538
"Nguyen T.H.H., Ntim C.G., Malagila J.K.","57218264168;54790062200;56582331300;","Women on corporate boards and corporate financial and non-financial performance: A systematic literature review and future research agenda",2020,"International Review of Financial Analysis","71",, 101554,"","",,,"10.1016/j.irfa.2020.101554","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088538435&doi=10.1016%2fj.irfa.2020.101554&partnerID=40&md5=de52a6b15d0205e1410050d039a9b4dd","Faculty of Finance - Banking, The University of Finance and Business Administration, Hung Yen, Viet Nam; Centre for Research in Accounting, Accountability and Governance (CRAAG), Department of Accounting, Southampton Business School, University of Southampton, Southampton, SO17 1BJ, United Kingdom","Nguyen, T.H.H., Faculty of Finance - Banking, The University of Finance and Business Administration, Hung Yen, Viet Nam, Centre for Research in Accounting, Accountability and Governance (CRAAG), Department of Accounting, Southampton Business School, University of Southampton, Southampton, SO17 1BJ, United Kingdom; Ntim, C.G., Centre for Research in Accounting, Accountability and Governance (CRAAG), Department of Accounting, Southampton Business School, University of Southampton, Southampton, SO17 1BJ, United Kingdom; Malagila, J.K., Centre for Research in Accounting, Accountability and Governance (CRAAG), Department of Accounting, Southampton Business School, University of Southampton, Southampton, SO17 1BJ, United Kingdom","This paper provides an up-to-date and comprehensive systematic literature review (SLR) of the existing research on women on corporate boards (WOCBs) and corporate financial and non-financial performance. The aim is to synthesise and extend current understanding of both the existing (i) theoretical (i.e., economic, psychological and social) perspectives and (ii) empirical evidence on the (a) multi-level (i.e., individual-, social-, firm- and country-level) antecedents of WOCBs, and (b) the effects that WOCBs have on a wide range of corporate financial and non-financial performance. We achieve this by adopting a three-step SLR approach to analyse/review one of the largest SLR datasets to be employed to date, consisting of 634 mixed, qualitative, quantitative and theoretical studies conducted in over 100 countries from more than 10 disciplines (e.g., accounting, finance, economics and governance) from 1981 to 2019 and published in 270 top-ranked journals. Our findings are as follows. First, a large number of existing studies are descriptive and/or they draw on single rather than multi-theoretical perspectives. Second, existing studies have focused on firm-level rather than country-level antecedents of WOCBs. Third, observable methodological limitations include the dearth of qualitative, mixed-methods and cross-cultural/country studies. Finally, we outline opportunities for future WOCBs research. © 2020 Elsevier Inc.","Corporate financial performance; Corporate governance; Corporate non-financial performance; Systematic literature review; Women on corporate boards",,"Nguyen, T.H.H.; Faculty of Finance - Banking, The University of Finance and Business AdministrationViet Nam; email: hthn1c16@soton.ac.uk",,"Elsevier Inc.",10575219,,,,"English","Int. Rev. Financ. Anal.",Review,"Final",,Scopus,2-s2.0-85088538435
"Souza-Pereira L., Pombo N., Ouhbi S., Felizardo V., Garcia N.","57216948067;55389546100;55318891200;55570084400;8229776000;","Clinical decision support systems for chronic diseases: A Systematic literature review",2020,"Computer Methods and Programs in Biomedicine","195",, 105565,"","",,,"10.1016/j.cmpb.2020.105565","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085524486&doi=10.1016%2fj.cmpb.2020.105565&partnerID=40&md5=1d920f922f48e9fc694a273ddfb01f72","Instituto Federal do Triâcngulo Mineiro - Campus Uberlâcndia Centro, Brazil; Instituto de Telecomunicações, Lisboa, Portugal; Universidade da Beira Interior, Covilhã, Portugal; Computer Science and Software Engineering Department, CIT, UAE University, United Arab Emirates","Souza-Pereira, L., Instituto Federal do Triâcngulo Mineiro - Campus Uberlâcndia Centro, Brazil, Instituto de Telecomunicações, Lisboa, Portugal, Universidade da Beira Interior, Covilhã, Portugal; Pombo, N., Instituto de Telecomunicações, Lisboa, Portugal, Universidade da Beira Interior, Covilhã, Portugal; Ouhbi, S., Computer Science and Software Engineering Department, CIT, UAE University, United Arab Emirates; Felizardo, V., Instituto de Telecomunicações, Lisboa, Portugal, Universidade da Beira Interior, Covilhã, Portugal; Garcia, N., Instituto de Telecomunicações, Lisboa, Portugal, Universidade da Beira Interior, Covilhã, Portugal","A Clinical Decision Support System (CDSS) aims to assist physicians, nurses and other professionals in decision-making related to the patient's clinical condition. CDSSs deal with pertinent and critical data, and special care should be taken in their design to ensure the development of usable, secure and reliable tools. Objective: This paper aims to investigate existing literature dealing with the development process of CDSSs for monitoring chronic diseases, analysing their functionalities and characteristics, and the software engineering representation in their design. Methods: A systematic literature review (SLR) is conducted to analyse the literature on CDSSs for monitoring chronic diseases and the application of software engineering techniques in their design. Results: Fourteen included studies revealed that the most addressed disease was diabetes (42.8%) and the most commonly proposed approach was diagnostic (85.7%). Regarding data sources, the studies show a predominance on the use of databases (85.7%), with other data sources such as sensors (42.8%) and self-report (28.6%) also being considered. Analysing the representation for engineering techniques, we found Behaviour diagrams (42.8%) to be the most frequent, closely followed by Structural diagrams (35.7%) and others (78.6%) being largely mentioned. Some studies also approached the requirement specification (21.4%). The most common target evaluation was the performance of the system (64.2%) and the most common metric was accuracy (57.1%). Conclusion: We conclude that software engineering, in its completeness, has scarce representation in studies focused on the development of CDSSs for chronic diseases. © 2020 Elsevier B.V.","Chronic disease; Clinical decision support systems; Software engineering","Application programs; Artificial intelligence; Decision making; Diagnosis; Diseases; Clinical conditions; Clinical decision support systems; Development process; Engineering techniques; Requirement specification; Structural diagram; Systematic literature review; Systematic literature review (SLR); Decision support systems; chronic disease; clinical decision support system; diabetes mellitus; engineering; human; machine learning; Review; self report; software design; systematic review","Souza-Pereira, L.; University da Beira Interioremail: leonice.pereira@ubi.pt",,"Elsevier Ireland Ltd",01692607,,CMPBE,"32480191","English","Comput. Methods Programs Biomed.",Review,"Final",,Scopus,2-s2.0-85085524486
"Pérez J., Díaz J., Garcia-Martin J., Tabuenca B.","56424017000;35092351500;56480344300;55843082300;","Systematic literature reviews in software engineering—enhancement of the study selection process using Cohen's Kappa statistic",2020,"Journal of Systems and Software","168",, 110657,"","",,,"10.1016/j.jss.2020.110657","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085270179&doi=10.1016%2fj.jss.2020.110657&partnerID=40&md5=79abfe45a51df2426282a8474ab1c90e","Universidad Politécnica de Madrid (Technical University of Madrid), Spain","Pérez, J., Universidad Politécnica de Madrid (Technical University of Madrid), Spain; Díaz, J., Universidad Politécnica de Madrid (Technical University of Madrid), Spain; Garcia-Martin, J., Universidad Politécnica de Madrid (Technical University of Madrid), Spain; Tabuenca, B., Universidad Politécnica de Madrid (Technical University of Madrid), Spain","Context: Systematic literature reviews (SLRs) rely on a rigorous and auditable methodology for minimizing biases and ensuring reliability. A common kind of bias arises when selecting studies using a set of inclusion/exclusion criteria. This bias can be decreased through dual revision, which makes the selection process more time-consuming and remains prone to generating bias depending on how each researcher interprets the inclusion/exclusion criteria. Objective: To reduce the bias and time spent in the study selection process, this paper presents a process for selecting studies based on the use of Cohen's Kappa statistic. We have defined an iterative process based on the use of this statistic during which the criteria are refined until obtain almost perfect agreement (k>0.8). At this point, the two researchers interpret the selection criteria in the same way, and thus, the bias is reduced. Starting from this agreement, dual review can be eliminated; consequently, the time spent is drastically shortened. Method: The feasibility of this iterative process for selecting studies is demonstrated through a tertiary study in the area of software engineering on works that were published from 2005 to 2018. Results: The time saved in the study selection process was 28% (for 152 studies) and if the number of studies is sufficiently large, the time saved tend asymptotically to 50%. Conclusions: Researchers and students may take advantage of this iterative process for selecting studies when conducting SLRs to reduce bias in the interpretation of inclusion and exclusion criteria. It is especially useful for research with few resources. © 2020 Elsevier Inc.","Cohen's kappa; Evidence-based practice; Systematic review","Software engineering; Cohen's kappas; Inclusion and exclusions; Iterative process; Selection criteria; Systematic literature review; Tertiary study; Time spent; Iterative methods","Díaz, J.; Universidad Politécnica de Madrid (Technical University of Madrid)Spain; email: yesica.diaz@upm.es",,"Elsevier Inc.",01641212,,JSSOD,,"English","J Syst Software",Article,"Final",,Scopus,2-s2.0-85085270179
"Mendes E., Wohlin C., Felizardo K., Kalinowski M.","7103403410;35547332200;35248128000;8288075800;","When to update systematic literature reviews in software engineering",2020,"Journal of Systems and Software","167",, 110607,"","",,1,"10.1016/j.jss.2020.110607","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084732557&doi=10.1016%2fj.jss.2020.110607&partnerID=40&md5=a86cb9f26f52c3c7da16d6ede96ca73d","Department of Computer Science, Blekinge Institute of Technology, Karlskrona, Sweden; Department of Software Engineering, Blekinge Institute of Technology, Karlskrona, Sweden; Department of Computing, Federal Technological University of Paraná, Cornélio Procópio, Brazil; Department of Informatics, Pontifical Catholic University of Rio de Janeiro (PUC-Rio), Rio de Janeiro, Brazil","Mendes, E., Department of Computer Science, Blekinge Institute of Technology, Karlskrona, Sweden; Wohlin, C., Department of Software Engineering, Blekinge Institute of Technology, Karlskrona, Sweden; Felizardo, K., Department of Computing, Federal Technological University of Paraná, Cornélio Procópio, Brazil; Kalinowski, M., Department of Informatics, Pontifical Catholic University of Rio de Janeiro (PUC-Rio), Rio de Janeiro, Brazil","[Context] Systematic Literature Reviews (SLRs) have been adopted by the Software Engineering (SE) community for approximately 15 years to provide meaningful summaries of evidence on several topics. Many of these SLRs are now potentially outdated, and there are no systematic proposals on when to update SLRs in SE. [Objective] The goal of this paper is to provide recommendations on when to update SLRs in SE. [Method] We evaluated, using a three-step approach, a third-party decision framework (3PDF) employed in other fields, to decide whether SLRs need updating. First, we conducted a literature review of SLR updates in SE and contacted the authors to obtain their feedback relating to the usefulness of the 3PDF within the context of SLR updates in SE. Second, we used these authors’ feedback to see whether the framework needed any adaptation; none was suggested. Third, we applied the 3PDF to the SLR updates identified in our literature review. [Results] The 3PDF showed that 14 of the 20 SLRs did not need updating. This supports the use of a decision support mechanism (such as the 3PDF) to help the SE community decide when to update SLRs. [Conclusions] We put forward that the 3PDF should be adopted by the SE community to keep relevant evidence up to date and to avoid wasting effort with unnecessary updates. © 2020","Software engineering; Systematic literature review update; Systematic literature reviews","Decision support systems; Decision framework; Decision supports; Literature reviews; Systematic literature review; Third parties; Three-step approach; Software engineering","Mendes, E.; Department of Computer Science, Blekinge Institute of TechnologySweden; email: emilia.mendes@bth.se",,"Elsevier Inc.",01641212,,JSSOD,,"English","J Syst Software",Article,"Final",,Scopus,2-s2.0-85084732557
