Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Access Type,Source,EID
"Ghazali N.A.H., Fauzi S.S.M., Gining R.A.J.M., Sobri W.A.W.M., Suali A.J.","57196476421;25654831000;57194237068;57200581580;57200583933;","Visualizing Software Risks in Software Engineering Projects using Risk Sensitivity Analysis Approach",2020,"Journal of Physics: Conference Series","1529","2", 022074,"","",,,"10.1088/1742-6596/1529/2/022074","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087934042&doi=10.1088%2f1742-6596%2f1529%2f2%2f022074&partnerID=40&md5=f567bea776fc552db4df5602464708f9","Faculty of Computer and Mathematical Sciences, Universiti Teknologi MARA, Malaysia","Ghazali, N.A.H., Faculty of Computer and Mathematical Sciences, Universiti Teknologi MARA, Malaysia; Fauzi, S.S.M., Faculty of Computer and Mathematical Sciences, Universiti Teknologi MARA, Malaysia; Gining, R.A.J.M., Faculty of Computer and Mathematical Sciences, Universiti Teknologi MARA, Malaysia; Sobri, W.A.W.M., Faculty of Computer and Mathematical Sciences, Universiti Teknologi MARA, Malaysia; Suali, A.J., Faculty of Computer and Mathematical Sciences, Universiti Teknologi MARA, Malaysia","Project risk management involves a systematic process of identifying, analyzing and responding to software risk in the project. Unfortunately, there were too many software risks involved in software engineering projects. Thus, it took a lot of time to investigate all the software risks that potentially occur in the project. Most of the project managers were only aware about the software risks when the software risk has occurred during the project. Therefore, an overview to visualize and prioritize software risks using sensitivity analysis need to be developed to help project managers determine software risks that has occurred in software engineering projects. This study adopts Systematic Literature Review (SLR) as the methodology to identify the software risks that have occurred in the project and a web-based integrated with risk sensitivity analysis approach to visualize and prioritize the software risks. The study suggests that a web-based application integrated with risk sensitivity analysis can be an alternative technique to assist project managers to identify high potential software risks that might occur in software engineering projects. © 2020 IOP Publishing Ltd. All rights reserved.","Risk management; Risk Sensitivity Analysis; Sensitivity Analysis; Software risks; Visualisation","Application programs; Managers; Risk analysis; Risk assessment; Sensitivity analysis; Sports; Websites; Analysis approach; Project managers; Project risk management; Risk sensitivity; Software engineering projects; Systematic literature review (SLR); Systematic process; Web-based applications; Risk management",,,"Institute of Physics Publishing",17426588,,,,"English","J. Phys. Conf. Ser.",Conference Paper,"Final",Open Access,Scopus,2-s2.0-85087934042
"Tu X.","57216250705;","Review of Environmental Safety Research Based on Systematic Mapping Study: Taking CNKI Database as an Example",2020,"IOP Conference Series: Earth and Environmental Science","446","3", 032110,"","",,,"10.1088/1755-1315/446/3/032110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082933868&doi=10.1088%2f1755-1315%2f446%2f3%2f032110&partnerID=40&md5=bc6ef8189fc8ea6f967447c4cca4278c","School of Safety Science and Emergency Management, Wuhan University of Technology, Wuhan, Hubei, 430070, China; China Research Center for Emergency Management, Wuhan University of Technology, Wuhan, Hubei, 430070, China","Tu, X., School of Safety Science and Emergency Management, Wuhan University of Technology, Wuhan, Hubei, 430070, China, China Research Center for Emergency Management, Wuhan University of Technology, Wuhan, Hubei, 430070, China","This paper applies the Systematic Mapping Study (SMS) to the review of environmental safety research in China. Different from the traditional systematic literature review, this study focuses on the classification and analysis of related literatures to form a number of quantitative, systematic visualization images to identify the current status and gaps in the research field. The paper follows the SMS analysis steps, takes the literature related to environmental safety research in recent 3 years from CNKI database as the analysis sample. SMS method is used to systematically analyze the publication trends, research types and research contributions, which offers a visual summary map of the field. The research results show that the SMS method can reflect the status quo of environmental safety research and identify research gaps efficiently and accurately, and can put forward targeted opinions accordingly. © Published under licence by IOP Publishing Ltd.",,"Energy resources; Mapping; Pollution control; Current status; Environmental safety; Research fields; Research gaps; Research results; Systematic literature review; Systematic mapping studies; Visualization images; Safety engineering","Tu, X.; School of Safety Science and Emergency Management, Wuhan University of TechnologyChina; email: txjwhut@163.com",,"Institute of Physics Publishing",17551307,,,,"English","IOP Conf. Ser. Earth Environ. Sci.",Conference Paper,"Final",Open Access,Scopus,2-s2.0-85082933868
"Sinha R., Shameem M., Kumar C.","57216160813;57188991787;9044919000;","SWOT: Strength,weaknesses, opportunities, and threats for scaling agile methods in global software development",2020,"ACM International Conference Proceeding Series",,, 3385037,"","",,,"10.1145/3385032.3385037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082724015&doi=10.1145%2f3385032.3385037&partnerID=40&md5=9271b52699ce04b9f1fd409931660e5f","Department of CSE, IIT (ISM), Dhanbad, Jharkhand, India","Sinha, R., Department of CSE, IIT (ISM), Dhanbad, Jharkhand, India; Shameem, M., Department of CSE, IIT (ISM), Dhanbad, Jharkhand, India; Kumar, C., Department of CSE, IIT (ISM), Dhanbad, Jharkhand, India","Nowadays, software organizations are deploying agile methods in the geographically distributed environment to get several benefits i.e. significant return on investment it produces, fast project delivery, and managing the dynamic behavior of the project development. The execution of agile practices in Global Software Development (GSD) is more complex than collocated environment (single site development). The objectives of this study is to explore the factors which positively and negatively impact on scaling program of agile development in the GSD context and propose a framework based on the factors for successful scaling of agile programs in GSD context. This study is carried out in two stages. In the first stage, a Systematic Literature Review (SLR) protocol was adopted to investigate the factors. In the second stage, the SWOT analytical framework was followed to classify the factors into four categories: strengths, weaknesses, opportunities, and threats. In the SWOT framework, the factors in strengths and weaknesses categories represent the internal aspects of the organizations while the opportunities and threats categories indicate the external aspects of organization. The findings of this study reported 24 factors. The identified 13 factors positively and 11 factors negatively impact on scaling program of agile development respectively. Moreover, a framework based on SWOT analysis is proposed that provided the classification of factors into four categories. Based on the research outcomes, we can conclude that the identified factors and their classification intoSWOT categories provide a robust framework that will assist the agile practitioners for successfully scale agile development in the GSD organizations. © 2020 Association for Computing Machinery.","Agile development; Global software development; Scaling; SWOT","Computer applications; Computer programming; Agile development; Distributed environments; Global software development; Project development; Scaling; Software organization; SWOT; Systematic literature review (SLR); Software design",,,"Association for Computing Machinery",,9781450375948,,,"English","ACM Int. Conf. Proc. Ser.",Conference Paper,"Final",Open Access,Scopus,2-s2.0-85082724015
"Naisuty M., Nizar Hidayanto A., Clydea Harahap N., Rosyiq A., Suhanto A., Michael Samuel Hartono G.","57214991254;57205093001;57215012694;57215004063;57214991429;57215004726;","Data protection on hadoop distributed file system by using encryption algorithms: A systematic literature review",2020,"Journal of Physics: Conference Series","1444","1", 012012,"","",,,"10.1088/1742-6596/1444/1/012012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079697325&doi=10.1088%2f1742-6596%2f1444%2f1%2f012012&partnerID=40&md5=325e74e446f8d3f33d55386ea313a947","Faculty of Computer Science, Universitas Indonesia, Jakarta, Indonesia","Naisuty, M., Faculty of Computer Science, Universitas Indonesia, Jakarta, Indonesia; Nizar Hidayanto, A., Faculty of Computer Science, Universitas Indonesia, Jakarta, Indonesia; Clydea Harahap, N., Faculty of Computer Science, Universitas Indonesia, Jakarta, Indonesia; Rosyiq, A., Faculty of Computer Science, Universitas Indonesia, Jakarta, Indonesia; Suhanto, A., Faculty of Computer Science, Universitas Indonesia, Jakarta, Indonesia; Michael Samuel Hartono, G., Faculty of Computer Science, Universitas Indonesia, Jakarta, Indonesia","Big data has capability to process huge amount of unstructured and structured data. Nowadays, technology is able to support business need by extracting massive amount of data and recognizing its pattern to predict future trends. It brings right insight in business strategy to gain tremendous benefit. Hadoop is a reliable technology which developed to distribute process and storage on big data efficiently. However, Hadoop doesn't have any built-in provision to encrypt data by default. Hadoop additional feature in encryption zone has security issue which key management does outside of HDFS. Sensitive and confidential data in HDFS can be exposed against security attack. Information security is fundamental concern and new set challenge for the world of big data. The main purpose of this paper is to protect Hadoop Distributed File System data by using encryption algorithm. This is to ensure data is secured at storage level of HDFS. Dealing with big data, it is important to choose fast enough encryption algorithm that has great performance. Research methodology is SLR (System Literature Review) by using methodology of PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses). © Published under licence by IOP Publishing Ltd.",,"Big data; Digital storage; File organization; Security of data; Business strategy; Confidential data; Encryption algorithms; Hadoop distributed file systems; Literature reviews; Research methodologies; Systematic literature review; Systematic Review; Cryptography","Naisuty, M.; Faculty of Computer Science, Universitas IndonesiaIndonesia; email: meisuchi.naisuty@gmail.com",,"Institute of Physics Publishing",17426588,,,,"English","J. Phys. Conf. Ser.",Conference Paper,"Final",Open Access,Scopus,2-s2.0-85079697325
"Bogner J., Weller A., Wagner S., Zimmermann A.","57189261793;57215656703;55286051900;36667800900;","Exploring maintainability assurance research for service- And microservice-based systems: Directions and differences",2020,"OpenAccess Series in Informatics","78",, 3,"","",,1,"10.4230/OASIcs.Microservices.2017-2019.3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081621763&doi=10.4230%2fOASIcs.Microservices.2017-2019.3&partnerID=40&md5=864615773d00db0cc8ebd02eac3c92a0","University of Applied Sciences Reutlingen, Herman Hollerith Center, Germany; University of Stuttgart, Institute of Software Technology, Software Engineering Group, Germany","Bogner, J., University of Applied Sciences Reutlingen, Herman Hollerith Center, Germany, University of Stuttgart, Institute of Software Technology, Software Engineering Group, Germany; Weller, A., University of Stuttgart, Institute of Software Technology, Software Engineering Group, Germany; Wagner, S., University of Stuttgart, Institute of Software Technology, Software Engineering Group, Germany; Zimmermann, A., University of Applied Sciences Reutlingen, Herman Hollerith Center, Germany","To ensure sustainable software maintenance and evolution, a diverse set of activities and concepts like metrics, change impact analysis, or antipattern detection can be used. Special maintainability assurance techniques have been proposed for service- and microservice-based systems, but it is difficult to get a comprehensive overview of this publication landscape. We therefore conducted a systematic literature review (SLR) to collect and categorize maintainability assurance approaches for service-oriented architecture (SOA) and microservices. Our search strategy led to the selection of 223 primary studies from 2007 to 2018 which we categorized with a threefold taxonomy: a) architectural (SOA, microservices, both), b) methodical (method or contribution of the study), and c) thematic (maintainability assurance subfield). We discuss the distribution among these categories and present different research directions as well as exemplary studies per thematic category. The primary finding of our SLR is that, while very few approaches have been suggested for microservices so far (24 of 223, ∼11%), we identified several thematic categories where existing SOA techniques could be adapted for the maintainability assurance of microservices. © Justus Bogner, Adrian Weller, Stefan Wagner, and Alfred Zimmermann; licensed under Creative Commons License CC-BY Joint Post-proceedings of the First and Second International Conference on Microservices (Microservices 2017/2019).","And phrases Maintainability; Microservices; Quality Assurance; Service-Based Systems; SOA; Software Evolution; Systematic Literature Review","Information services; Maintainability; Quality assurance; Software quality; Change impact analysis; Microservices; Search strategies; Service-based systems; Software Evolution; Sustainable softwares; Systematic literature review; Systematic literature review (SLR); Service oriented architecture (SOA)",,"Cruz-Filipe L.Giallorenzo S.Giallorenzo S.Montesi F.Peressotti M.Rademacher F.Sachweh S.","Schloss Dagstuhl- Leibniz-Zentrum fur Informatik GmbH, Dagstuhl Publishing",21906807,9783959771375,,,"English","OpenAccess Ser. Informatics",Conference Paper,"Final",,Scopus,2-s2.0-85081621763
"Suwiyanto V., Sensuse D.I.","57214725165;53264793000;","Goals and Suggestions in Knowledge Map Development using SNA: A Literature Review",2020,"Journal of Physics: Conference Series","1430","1", 012036,"","",,,"10.1088/1742-6596/1430/1/012036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079003506&doi=10.1088%2f1742-6596%2f1430%2f1%2f012036&partnerID=40&md5=f01c67bf407519c8da85611dbec92011","Faculty of Computer Science, University of Indonesia, Jakarta, Indonesia","Suwiyanto, V., Faculty of Computer Science, University of Indonesia, Jakarta, Indonesia; Sensuse, D.I., Faculty of Computer Science, University of Indonesia, Jakarta, Indonesia","As a non-ministerial government institution in charge of statistics, BPS-Statistics Indonesia must be able to provide quality statistical data through integrated and international standard statistical activities. Integrated statistical activities require a process of statistical activities that does not silo thinking. This silo thinking can be detrimental to BPS-Statistics Indonesia, especially in terms of overcoming the problem of statistical activities that have actually occurred in previous statistical activities. From these problems it is necessary to identify important knowledge that is useful to be able to be accessed and used as a lesson learned by other statistical activities. In Knowledge Management there is a tool to help identify important knowledge, namely Knowledge Map, which is assisted by analysis using the Social Network Analysis (SNA) technique. To solve the problem, BPS-Statistics Indonesia needs to conduct a study on the application of this knowledge maps with SNA technique. In this study, a study literature on knowledge maps with SNA was carried out. This literature study is in the form of Systematic Literature Review (SLR). From this literature study, an overview of the fields used as research subjects on knowledge maps with SNA, description of objectives and research suggestions currently used by researchers. This study found that the most used fields of research were non-business fields, especially in the fields of education and research. Findings regarding the purpose of the study are divided into making a design / framework or analyzing a problem. From the synthesis of SLR papers it was found that research on Knowledge Map with SNA, the purpose mostly to analyzing a problem. In this study it was also found that the suggestions for most subsequent research were suggestions for modification or refinement of research methods on knowledge maps with SNA. From these findings, BPS-Statistics Indonesia is expected to be able to take advantage and can make this literature study as the basis for the implementation of knowledge maps with SNA to solve the problem of silo thinking. © Published under licence by IOP Publishing Ltd.",,"Knowledge engineering; Knowledge management; Education and researches; Government institutions; International standards; Literature reviews; Literature studies; Research subjects; Statistical datas; Systematic literature review (SLR); Statistics",,"Alfarisi S.Rahim R.","Institute of Physics Publishing",17426588,,,,"English","J. Phys. Conf. Ser.",Conference Paper,"Final",Open Access,Scopus,2-s2.0-85079003506
"Juca-Aulestia M., Labanda-Jaramillo M., Guaman-Quinche J., Coronel-Romero E., Chamba-Eras L., Jácome-Galarza L.-R.","57216946980;57200368967;57216949104;57195290738;57188550399;57217651107;","Open Innovation at University: A Systematic Literature Review",2020,"Advances in Intelligent Systems and Computing","1159 AISC",,,"3","14",,,"10.1007/978-3-030-45688-7_1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085504232&doi=10.1007%2f978-3-030-45688-7_1&partnerID=40&md5=308243b8331ba36ba62d41ea7fa99a24","Carrera de Informática Educativa, Loja, Ecuador; Carrera de Ingeniería en Sistemas, Loja, Ecuador; Grupo de Investigación en Tecnologías de la Información y Comunicación (GITIC), Loja, Ecuador; Grupo de Investigación en Tecnología Educativa (GITED), Universidad Nacional de Loja, Loja, Ecuador; Centro de I+D de Sistemas Computacionales Escuela Superior Politécnica del Litoral, Guayaquil, Ecuador","Juca-Aulestia, M., Carrera de Informática Educativa, Loja, Ecuador; Labanda-Jaramillo, M., Carrera de Informática Educativa, Loja, Ecuador, Grupo de Investigación en Tecnologías de la Información y Comunicación (GITIC), Loja, Ecuador, Grupo de Investigación en Tecnología Educativa (GITED), Universidad Nacional de Loja, Loja, Ecuador; Guaman-Quinche, J., Carrera de Ingeniería en Sistemas, Loja, Ecuador; Coronel-Romero, E., Carrera de Ingeniería en Sistemas, Loja, Ecuador, Grupo de Investigación en Tecnologías de la Información y Comunicación (GITIC), Loja, Ecuador; Chamba-Eras, L., Carrera de Ingeniería en Sistemas, Loja, Ecuador, Grupo de Investigación en Tecnologías de la Información y Comunicación (GITIC), Loja, Ecuador; Jácome-Galarza, L.-R., Centro de I+D de Sistemas Computacionales Escuela Superior Politécnica del Litoral, Guayaquil, Ecuador","The aim of this paper is to describe the role of open innovation at universities around the world through a systematic literature review (SLR). The research was a methodology for SLR applied to engineer and education. The SLR selected 61 documents in the Scopus database. The obtained results allow us to identify why universities use open collaborative networks to link industry and academics through projects, link the triple helix model in their practices (spin-off), and through policies and strategies, organizations develop open innovation, while universities develop curricular strategies. Finally, university-enterprise financing is considered important for the development of products and services, preserving intellectual property. © 2020, The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG.","Knowledge networks; R&D; Transfer of knowledge","Information systems; Collaborative network; Open innovation; Products and services; Scopus database; Spin off; Systematic literature review; Systematic literature review (SLR); Triple helix models; Information use","Chamba-Eras, L.; Carrera de Ingeniería en SistemasEcuador; email: lachamba@unl.edu.ec","Rocha A.Adeli H.Reis L.P.Costanzo S.Orovic I.Moreira F.","Springer",21945357,9783030456870,,,"English","Adv. Intell. Sys. Comput.",Conference Paper,"Final",,Scopus,2-s2.0-85085504232
"Astudillo B., Santórum M., Aguilar J.","57218312073;53980320300;55434810600;","A methodology for data analytics based on organizational characterization through a user-centered design: A systematic literature review",2020,"Advances in Intelligent Systems and Computing","1217 AISC",,,"150","157",,,"10.1007/978-3-030-51828-8_20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088753715&doi=10.1007%2f978-3-030-51828-8_20&partnerID=40&md5=7666b6f48e74972ffc4dde85a85118ec","Departamento de Informática y Ciencias de la Computación, Escuela Politécnica Nacional, Quito, Ecuador; Centro de Estudios en Microelectrónica y Sistemas (CEMISID), Universidad de Los Andes, Mérida, Venezuela","Astudillo, B., Departamento de Informática y Ciencias de la Computación, Escuela Politécnica Nacional, Quito, Ecuador; Santórum, M., Departamento de Informática y Ciencias de la Computación, Escuela Politécnica Nacional, Quito, Ecuador; Aguilar, J., Centro de Estudios en Microelectrónica y Sistemas (CEMISID), Universidad de Los Andes, Mérida, Venezuela","Data Analytics (DA) is the process of seeking knowledge in the data, to make a better supported business decision through the application of a methodology. However, in our paper conducted a systematic literature review (SLR) in five scientific databases by using Kitchenham’s methodology as a methodological guide in order to identify all user-centered design (UCD) key criteria possible to be contemplated in new DA methodology proposal. The UCD criteria will be used as a guideline to build a participatory, adaptable, efficient, collaborative and easy to apply DA methodology. The UCD criteria will be used as a guideline to build a participatory, adaptable, efficient, collaborative and easy-to-apply DA methodology. These criteria will be validated in our research by comparing them with those defined in ISO 9241-210:2010 standard “Human-centered design process for interactive systems”. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2020.","Data analysis; Data Analytics; Human-centered design; Participatory; User-centered design","Data Analytics; Human engineering; User experience; Wearable technology; Business decisions; Human-centered designs; Interactive system; Scientific database; Systematic literature review; Systematic literature review (SLR); User Centered Design(UCD); User centered design","Astudillo, B.; Departamento de Informática y Ciencias de la Computación, Escuela Politécnica NacionalEcuador; email: boris.astudillo@epn.edu.ec","Ahram T.Falcao C.","Springer",21945357,9783030518271,,,"English","Adv. Intell. Sys. Comput.",Conference Paper,"Final",,Scopus,2-s2.0-85088753715
"Asim M., Shah M.A., Ali M., Naseem R.","57216909669;56405926500;57217604197;36998693900;","Decision Support System for Dental Clinics: A Systematic Literature Review Protocol",2020,"Communications in Computer and Information Science","1198",,,"250","257",,,"10.1007/978-981-15-5232-8_22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085241355&doi=10.1007%2f978-981-15-5232-8_22&partnerID=40&md5=c992b67b726cdde393a2be9d61937d06","City University of Science and Information Technology, Peshawar, Pakistan; Department of Software Engineering, Faculty of Engineering, Universiti Teknologi Malaysia, Johor Bahru, Malaysia","Asim, M., City University of Science and Information Technology, Peshawar, Pakistan; Shah, M.A., City University of Science and Information Technology, Peshawar, Pakistan, Department of Software Engineering, Faculty of Engineering, Universiti Teknologi Malaysia, Johor Bahru, Malaysia; Ali, M., City University of Science and Information Technology, Peshawar, Pakistan; Naseem, R., City University of Science and Information Technology, Peshawar, Pakistan","Decision Support System (DSS) is a new trend in technology which provides decisions to users based on the information. Nowadays, it is being used in many fields and, it is becoming an essential part of the dental clinic. Many dental diseases are now detecting with the DSS and many treatments for dental diseases are providing through it. Therefore, it becomes an inspiring re-search issue to provide the best solution in sensitive types of data. This paper presents a Protocol for a Systematic Literature Review on DSS for dental diseases. This paper performed a specific documented plan and provides a methodology supportive to perform a Systematic Literature Review (SLR). Five important steps are performed in this review protocol and five research questions in the field of Dental Decision Support System (DDSS) are considered. Important attributes in the field of interest are considered. The expected result of this review will identify the research issues, provide different paths to researchers and it also discussed the importance/requirement of the DDSS. The results of this protocol can be helpful for the researchers, and it will provide a way for researchers to implement SLR more easily and effectively. © 2020, Springer Nature Singapore Pte Ltd.","Decision Support System; Dental diseases; Systematic Literature Review Protocol","Artificial intelligence; Decision support system (dss); Dental clinics; Protocol cans; Research issues; Research questions; Systematic literature review; Systematic literature review (SLR); Decision support systems","Asim, M.; City University of Science and Information TechnologyPakistan; email: onlyforasim1@gmail.com","Bajwa I.S.Sibalija T.Jawawi D.N.A.","Springer",18650929,9789811552311,,,"English","Commun. Comput. Info. Sci.",Conference Paper,"Final",,Scopus,2-s2.0-85085241355
"Zarte M., Pechmann A., Nunes I.L.","57193016331;25626803100;16053072200;","Principles for Human-Centered System Design in Industry 4.0 – A Systematic Literature Review",2020,"Advances in Intelligent Systems and Computing","1207 AISC",,,"140","147",,1,"10.1007/978-3-030-51369-6_19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088240338&doi=10.1007%2f978-3-030-51369-6_19&partnerID=40&md5=0da7bfad19fc17697194a3a98aac2b83","Faculdade de Ciencias e Tecnologia, Universidade Nova de Lisboa, Campus Caparica, Caparica, 2829-516, Portugal; Department of Mechanical Engineering, University of Applied Sciences Emden/Leer, Constantiaplatz 4, Emden, 26723, Germany; Faculdade de Ciencias e Tecnologia, Universidade Nova de Lisboa, UNIDEMI, Campus de Caparica, Caparica, 2829-516, Portugal","Zarte, M., Faculdade de Ciencias e Tecnologia, Universidade Nova de Lisboa, Campus Caparica, Caparica, 2829-516, Portugal; Pechmann, A., Department of Mechanical Engineering, University of Applied Sciences Emden/Leer, Constantiaplatz 4, Emden, 26723, Germany; Nunes, I.L., Faculdade de Ciencias e Tecnologia, Universidade Nova de Lisboa, UNIDEMI, Campus de Caparica, Caparica, 2829-516, Portugal","Industry 4.0 seeks to combine the real and cyber worlds by implementing cyber-physical systems (CPS) within industrial processes to create a self-managing network between humans, machines, products, and other related objects. An important part of the current transformation to Industry 4.0 is the emphasis on human-centricity, allowing for a paradigm shift from independent automated and human activities towards a human-automation symbiosis. This symbiosis is characterized by the cooperation between machines and humans in work systems and is designed not to replace the skills and abilities of humans, but rather to co-exist and assist humans in being more efficient and effective. The paper presents a systematic literature review (SLR) to identify principles for the human-centered design of future CPS. The SLR follows widely accepted methodologies and introduces concepts and visions for the elicitation of operators’ roles and needs in Industry 4.0. © 2020, The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG.","Digitalization; Human factor; Human-system design; Operator 4.0","Embedded systems; Human engineering; Current transformation; Cyber-physical systems (CPS); Design in industries; Human centered systems; Human-centered designs; Industrial processs; Systematic literature review; Systematic literature review (SLR); Industry 4.0","Zarte, M.; Faculdade de Ciencias e Tecnologia, Universidade Nova de Lisboa, Campus Caparica, Portugal; email: m.zarte@campus.fct.unl.pt","Nunes I.L.","Springer",21945357,9783030513689,,,"English","Adv. Intell. Sys. Comput.",Conference Paper,"Final",,Scopus,2-s2.0-85088240338
