Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Access Type,Source,EID
"Hoque X., Sharma S.K.","57194708582;57194710306;","Ensembled Deep Learning Approach for Maritime Anomaly Detection System",2020,"Lecture Notes in Electrical Engineering","605",,,"862","869",,,"10.1007/978-3-030-30577-2_77","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075281274&doi=10.1007%2f978-3-030-30577-2_77&partnerID=40&md5=d3a680bd90014277c39ec8604d15ed29","Eduwaive Foundation, Chandigarh, India; Institute of Information Technology and Management, Janakpuri, Delhi, India","Hoque, X., Eduwaive Foundation, Chandigarh, India; Sharma, S.K., Institute of Information Technology and Management, Janakpuri, Delhi, India","AIS; Deep learning; LSTM; Maritime anomaly detection","Artificial intelligence; Clustering algorithms; Deep learning; Long short-term memory; Ships; Trajectories; Anomalous behavior; Anomaly detection methods; Anomaly detection systems; LSTM; Multivariate time series; Real time monitoring; Short term memory; Spectral clustering; Anomaly detection","Hoque, X.; Eduwaive FoundationIndia; email: ximi.hoque@eduwaive.org",Conference Paper,"Final",,Scopus,2-s2.0-85075281274
"Gurina E., Klyuchnikov N., Zaytsev A., Romanenkova E., Antipova K., Simon I., Makarov V., Koroteev D.","57211215354;57200113111;57191222878;57211219363;56094900200;57205424501;57195129906;10244646900;","Application of machine learning to accidents detection at directional drilling",2020,"Journal of Petroleum Science and Engineering","184",, 106519,"","",,1,"10.1016/j.petrol.2019.106519","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073013367&doi=10.1016%2fj.petrol.2019.106519&partnerID=40&md5=04abc3a07ed4b8280acdff44c0595015","Skolkovo Institute of Science and Technology (Skoltech)Moscow  121205, Russian Federation; Gazprom Neft Science & Technology Center, St. Petersburg, 19000, Russian Federation","Gurina, E., Skolkovo Institute of Science and Technology (Skoltech)Moscow  121205, Russian Federation; Klyuchnikov, N., Skolkovo Institute of Science and Technology (Skoltech)Moscow  121205, Russian Federation; Zaytsev, A., Skolkovo Institute of Science and Technology (Skoltech)Moscow  121205, Russian Federation; Romanenkova, E., Skolkovo Institute of Science and Technology (Skoltech)Moscow  121205, Russian Federation; Antipova, K., Skolkovo Institute of Science and Technology (Skoltech)Moscow  121205, Russian Federation; Simon, I., Gazprom Neft Science & Technology Center, St. Petersburg, 19000, Russian Federation; Makarov, V., Gazprom Neft Science & Technology Center, St. Petersburg, 19000, Russian Federation; Koroteev, D., Skolkovo Institute of Science and Technology (Skoltech)Moscow  121205, Russian Federation","Anomaly detection; Classification; Directional drilling; Machine learning; Measurements while drilling","Accidents; Anomaly detection; Classification (of information); Directional drilling; Infill drilling; Learning systems; Telemetering equipment; Time series; Data-driven algorithm; Gradient boosting; Model performance; Real time drilling; Real time measurements; Time-series comparisons; Well constructions; While drillings; Machine learning; algorithm; drilling; machine learning; measurement method; numerical model; telemetry","Gurina, E.; Skolkovo Institute of Science and Technology (Skoltech)Russian Federation; email: Ekaterina.Gurina@skoltech.ru",Article,"Final",Open Access,Scopus,2-s2.0-85073013367
"Krishnamurthy P., Karri R., Khorrami F.","7006328196;7006419874;55663722200;","Anomaly Detection in Real-Time Multi-Threaded Processes Using Hardware Performance Counters",2020,"IEEE Transactions on Information Forensics and Security","15",, 8737990,"666","680",,,"10.1109/TIFS.2019.2923577","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072757553&doi=10.1109%2fTIFS.2019.2923577&partnerID=40&md5=3bfd93807beb9772bbfcc751e7910147","Department of Electrical and Computer Engineering, NYU, Tandon School of Engineering, Brooklyn, NY  11201, United States","Krishnamurthy, P., Department of Electrical and Computer Engineering, NYU, Tandon School of Engineering, Brooklyn, NY  11201, United States; Karri, R., Department of Electrical and Computer Engineering, NYU, Tandon School of Engineering, Brooklyn, NY  11201, United States; Khorrami, F., Department of Electrical and Computer Engineering, NYU, Tandon School of Engineering, Brooklyn, NY  11201, United States","Anomaly detection; cyber security; malware; programmable logic controller; resilient control","Anomaly detection; Classification (of information); Computer circuits; Controllers; Embedded systems; Learning systems; Malware; Programmable logic controllers; Programmed control systems; Real time systems; Stochastic systems; Time series; Cyber security; Cyber-physical systems (CPS); Hardware performance counters; Hardware-in-the-loop; Programmable logic controllers (PLC); Real time controllers; Real time monitoring; Resilient control; Process control","Krishnamurthy, P.; Department of Electrical and Computer Engineering, NYU, Tandon School of EngineeringUnited States; email: prashanth.krishnamurthy@nyu.edu",Article,"Final",,Scopus,2-s2.0-85072757553
"Rosengarten M., Ramachandran S.","57208753385;16310710900;","SOM-Based Anomaly Detection and Localization for Space Subsystems",2020,"Advances in Intelligent Systems and Computing","976",,,"57","69",,,"10.1007/978-3-030-19642-4_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065717833&doi=10.1007%2f978-3-030-19642-4_6&partnerID=40&md5=812c9a02be3a2e52ef4cc74acc888eeb","Stottler Henke Associates, Inc., San Mateo, CA, United States","Rosengarten, M., Stottler Henke Associates, Inc., San Mateo, CA, United States; Ramachandran, S., Stottler Henke Associates, Inc., San Mateo, CA, United States","Anomaly detection and localization; Integrated System Health Management; Self-Organizing Map","Conformal mapping; Data visualization; Integrated control; Interplanetary flight; K-means clustering; Learning systems; NASA; Self organizing maps; Semantics; Topology; Wastewater reclamation; Ames research centers; Clustering techniques; Deep-space exploration; Detection and localization; Integrated system health managements; Machine learning technology; Recycling systems; Topological features; Anomaly detection","Rosengarten, M.; Stottler Henke Associates, Inc.United States; email: mrosengarten@stottlerhenke.com",Conference Paper,"Final",,Scopus,2-s2.0-85065717833
"Tripathy S., Sahoo L.","56678319900;56154631400;","Improved Method for Noise Detection by DBSCAN and Angle Based Outlier Factor in High Dimensional Datasets",2020,"Lecture Notes in Electrical Engineering","570",,,"213","221",,,"10.1007/978-981-13-8715-9_27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070606937&doi=10.1007%2f978-981-13-8715-9_27&partnerID=40&md5=6da6c6880fe06c7bc7d063c1e765e0bc","KIIT Deemed to be University, Bhubaneshwar, Odisha, India","Tripathy, S., KIIT Deemed to be University, Bhubaneshwar, Odisha, India; Sahoo, L., KIIT Deemed to be University, Bhubaneshwar, Odisha, India","ABOD; Clustering; DBSCAN; Outlier detection; Principal component analysis","Anomaly detection; Clustering algorithms; Data mining; Health insurance; Principal component analysis; ABOD; Clustering; DBSCAN; Density-based Clustering; Experimental analysis; High dimensional data; High dimensional datasets; Real-time application; Statistics","Tripathy, S.; KIIT Deemed to be UniversityIndia; email: sarita.tripathyfcs@kiit.ac.in",Conference Paper,"Final",,Scopus,2-s2.0-85070606937
"Pusdá-Chulde M.R., Salazar-Fierro F.A., Sandoval-Pillajo L., Herrera-Granda E.P., García-Santillán I.D., De Giusti A.","57212215561;57212215459;57209979350;57205360700;57192817984;55667347600;","Image Analysis Based on Heterogeneous Architectures for Precision Agriculture: A Systematic Literature Review",2020,"Advances in Intelligent Systems and Computing","1078",,,"51","70",,,"10.1007/978-3-030-33614-1_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076215281&doi=10.1007%2f978-3-030-33614-1_4&partnerID=40&md5=d649a9e55724ce53d11a498984b889fa","Faculty of Engineering in Applied Sciences, Universidad Técnica del Norte, Ibarra, Ecuador; Universidad Nacional de La Plata, La Plata, Argentina; Carrera de Software, Universidad Regional Autónoma de Los Andes, Ibarra, Ecuador","Pusdá-Chulde, M.R., Faculty of Engineering in Applied Sciences, Universidad Técnica del Norte, Ibarra, Ecuador, Universidad Nacional de La Plata, La Plata, Argentina; Salazar-Fierro, F.A., Faculty of Engineering in Applied Sciences, Universidad Técnica del Norte, Ibarra, Ecuador; Sandoval-Pillajo, L., Carrera de Software, Universidad Regional Autónoma de Los Andes, Ibarra, Ecuador; Herrera-Granda, E.P., Faculty of Engineering in Applied Sciences, Universidad Técnica del Norte, Ibarra, Ecuador; García-Santillán, I.D., Faculty of Engineering in Applied Sciences, Universidad Técnica del Norte, Ibarra, Ecuador; De Giusti, A., Universidad Nacional de La Plata, La Plata, Argentina","FPGA; GPU; Heterogeneous architectures; Image analysis; Multicore; Precision agriculture; SLR","Decision making; Deep learning; Deterioration; Engineering education; Environmental technology; Field programmable gate arrays (FPGA); Graphics processing unit; Image segmentation; Information services; Machine learning; Precision agriculture; Real time systems; Agricultural activities; Artificial intelligence techniques; Environmental pollutions; Heterogeneous architectures; Heterogeneous technology; Information and Communication Technologies; Multi core; Systematic literature review; Image analysis","Pusdá-Chulde, M.R.; Faculty of Engineering in Applied Sciences, Universidad Técnica del NorteEcuador; email: mrpusda@utn.edu.ec",Conference Paper,"Final",,Scopus,2-s2.0-85076215281
"Deja K., Trzciński T., Graczykowski Ł., ALICE Collaboration","57204814174;57202417075;45860995900;","Generative models for fast cluster simulations in the TPC for the ALICE experiment",2020,"Advances in Intelligent Systems and Computing","945",,,"267","280",,,"10.1007/978-3-030-18058-4_21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065434309&doi=10.1007%2f978-3-030-18058-4_21&partnerID=40&md5=8c0d3bb4cca8b2ed35e83ffdc0f27b36","Institute of Computer Science, Warsaw University of Technology, Warsaw, Poland; Faculty of Physics, Warsaw University of Technology, Warsaw, Poland","Deja, K., Institute of Computer Science, Warsaw University of Technology, Warsaw, Poland; Trzciński, T., Institute of Computer Science, Warsaw University of Technology, Warsaw, Poland; Graczykowski, Ł., Faculty of Physics, Warsaw University of Technology, Warsaw, Poland; ALICE Collaboration",,"Chemical detection; High energy physics; Image processing; Learning systems; Quality assurance; Adversarial networks; Cluster simulation tools; Cluster simulations; Computational costs; High energy physics experiments; Production environments; Real-time anomaly detections; Time projection chambers; Anomaly detection","Deja, K.; Institute of Computer Science, Warsaw University of TechnologyPoland; email: kdeja@stud.elka.pw.edu.pl",Conference Paper,"Final",,Scopus,2-s2.0-85065434309
"Angelopoulos A., Michailidis E.T., Nomikos N., Trakadas P., Hatziefremidis A., Voliotis S., Zahariadis T.","7006247687;25929466200;57188907639;6603036390;6602210925;6603062712;55410698800;","Tackling faults in the industry 4.0 era—a survey of machine-learning solutions and key aspects",2020,"Sensors (Switzerland)","20","1", 109,"","",,,"10.3390/s20010109","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077254717&doi=10.3390%2fs20010109&partnerID=40&md5=e15c22ff561b473c9f85f71b7867c7c4","General Department, National and Kapodistrian University of Athens, Thesi skliro, Psahna, Evia, 34400, Greece; Telecommunications, Signal Processing and Intelligent Systems (TelSiP), Research Laboratory, Department of Electrical and Electronics Engineering, School of Engineering, University of West Attica, Ancient Olive Grove Campus, Aigaleo, 12244, Greece; Department of Information and Communication Systems Engineering, School of Engineering, University of the Aegean, Samos, 83200, Greece","Angelopoulos, A., General Department, National and Kapodistrian University of Athens, Thesi skliro, Psahna, Evia, 34400, Greece; Michailidis, E.T., Telecommunications, Signal Processing and Intelligent Systems (TelSiP), Research Laboratory, Department of Electrical and Electronics Engineering, School of Engineering, University of West Attica, Ancient Olive Grove Campus, Aigaleo, 12244, Greece; Nomikos, N., Department of Information and Communication Systems Engineering, School of Engineering, University of the Aegean, Samos, 83200, Greece; Trakadas, P., General Department, National and Kapodistrian University of Athens, Thesi skliro, Psahna, Evia, 34400, Greece; Hatziefremidis, A., General Department, National and Kapodistrian University of Athens, Thesi skliro, Psahna, Evia, 34400, Greece; Voliotis, S., General Department, National and Kapodistrian University of Athens, Thesi skliro, Psahna, Evia, 34400, Greece; Zahariadis, T., General Department, National and Kapodistrian University of Athens, Thesi skliro, Psahna, Evia, 34400, Greece","Anomaly detection; Fault detection; Human-Machine interaction; Industry 4.0; Machine learning; Predictive maintenance; Security","Anomaly detection; Data handling; Industry 4.0; Learning systems; Machine learning; Manufacturing data processing; Surveys; Conventional optimization; Human machine interaction; Industrial manufacturing; Interaction techniques; Predictive maintenance; Real-time manufacturing; Security; Wireless connectivities; Fault detection; algorithm; artificial intelligence; automation; computer security; ecosystem; human; human experiment; internet of things; machine learning; prediction; review; worker","Nomikos, N.; Department of Information and Communication Systems Engineering, School of Engineering, University of the AegeanGreece; email: nnomikos@aegean.gr",Review,"Final",Open Access,Scopus,2-s2.0-85077254717
"Novikova E., Bestuzhev M., Shorov A.","55415626100;57211980434;36519976400;","The Visualization-Driven Approach to the Analysis of the HVAC Data",2020,"Studies in Computational Intelligence","868",,,"547","552",,,"10.1007/978-3-030-32258-8_64","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075564378&doi=10.1007%2f978-3-030-32258-8_64&partnerID=40&md5=4ed0d6f6f38f0601be706d030d7954e0","Department of Computer Science and Engineering, Saint Petersburg Electrotechnical University LETI, Professora Popova Str. 5, Saint-Petersburg, Russian Federation; Laboratory of Computer Security Problems, St. Petersburg Institute for Information and Automation SPIIRAS, 14th line, 39, Saint-Petersburg, Russian Federation","Novikova, E., Department of Computer Science and Engineering, Saint Petersburg Electrotechnical University LETI, Professora Popova Str. 5, Saint-Petersburg, Russian Federation, Laboratory of Computer Security Problems, St. Petersburg Institute for Information and Automation SPIIRAS, 14th line, 39, Saint-Petersburg, Russian Federation; Bestuzhev, M., Department of Computer Science and Engineering, Saint Petersburg Electrotechnical University LETI, Professora Popova Str. 5, Saint-Petersburg, Russian Federation; Shorov, A., Department of Computer Science and Engineering, Saint Petersburg Electrotechnical University LETI, Professora Popova Str. 5, Saint-Petersburg, Russian Federation","Anomaly detection; Density-based clustering; Heat map; HVAC; Pattern detection; Visual correlation",,"Novikova, E.; Laboratory of Computer Security Problems, St. Petersburg Institute for Information and Automation SPIIRAS, 14th line, 39, Russian Federation; email: novikova.evgenia123@gmail.com",Conference Paper,"Final",,Scopus,2-s2.0-85075564378
[No author name available],[No author id available],"13th International Conference on Innovative Mobile and Internet Services in Ubiquitous Computing, IMIS 2019",2020,"Advances in Intelligent Systems and Computing","994",,,"","",912,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068265383&partnerID=40&md5=94add2a8fc1ce566128ecede00365a7e",,"",,,,Conference Review,"Final",,Scopus,2-s2.0-85068265383
