Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Lin J.-L., Hwang K.-S., Shi H., Pan W.","23389644200;7402426737;12752051900;57198514328;","An ensemble method for inverse reinforcement learning",2020,"Information Sciences","512",,,"518","532",,,"10.1016/j.ins.2019.09.066","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073051334&doi=10.1016%2fj.ins.2019.09.066&partnerID=40&md5=8822d30b633ab7bd73b01f99436a6edb","Department of Information Management, Shih-Hsin University Taipei11678, Taiwan; Department of Electrical Engineering, National Sun Yat-sen University, Kaohsiung, 80424, Taiwan; School of Computer Science, Northwestern Polytechnical University, Xi'an, 710129, China","Lin, J.-L., Department of Information Management, Shih-Hsin University Taipei11678, Taiwan; Hwang, K.-S., Department of Electrical Engineering, National Sun Yat-sen University, Kaohsiung, 80424, Taiwan; Shi, H., School of Computer Science, Northwestern Polytechnical University, Xi'an, 710129, China; Pan, W., School of Computer Science, Northwestern Polytechnical University, Xi'an, 710129, China","Apprentice learning; Boosting classifier; Inverse reinforcement learning; Q-learning","Adaptive boosting; Inverse problems; Machine learning; Robot applications; Accurate inference; AdaBoost algorithm; Boosting classifiers; Classification methods; Individual features; Inverse reinforcement learning; Parametric functions; Q-learning; Reinforcement learning",Article,"Final",,Scopus,2-s2.0-85073051334
"Shou Z., Di X., Ye J., Zhu H., Zhang H., Hampshire R.","57203962496;36987391400;57214080792;57212490055;57202297163;57203505770;","Optimal passenger-seeking policies on E-hailing platforms using Markov decision process and imitation learning",2020,"Transportation Research Part C: Emerging Technologies","111",,,"91","113",,,"10.1016/j.trc.2019.12.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076866879&doi=10.1016%2fj.trc.2019.12.005&partnerID=40&md5=de4ff1de56dcbb64192f6b9cb83c54ba","Department of Civil Engineering and Engineering Mechanics, Columbia University, United States; Data Science Institute, Columbia University, United States; Didi Chuxing Inc., Beijing, China; National Maglev Transportation Engineering R&D Center, Tongji University, Shanghai, China; University of Michigan Transportation Research Institute, University of Michigan, Ann Arbor, United States; Ford School of Public Policy, University of Michigan, Ann Arbor, United States","Shou, Z., Department of Civil Engineering and Engineering Mechanics, Columbia University, United States; Di, X., Department of Civil Engineering and Engineering Mechanics, Columbia University, United States, Data Science Institute, Columbia University, United States; Ye, J., Didi Chuxing Inc., Beijing, China; Zhu, H., Didi Chuxing Inc., Beijing, China; Zhang, H., National Maglev Transportation Engineering R&D Center, Tongji University, Shanghai, China; Hampshire, R., University of Michigan Transportation Research Institute, University of Michigan, Ann Arbor, United States, Ford School of Public Policy, University of Michigan, Ann Arbor, United States","E-hailing; Imitation learning; Markov Decision Process (MDP)","Behavioral research; Driver training; Earnings; Intelligent systems; Markov processes; Monte Carlo methods; Optimization; Roads and streets; Taxicabs; Traffic congestion; Dynamic adjustment; Imitation learning; Inverse reinforcement learning; Markov Decision Processes; Optimal sequential; Supply demand ratio; Transportation network; Vehicle-miles traveled; Reinforcement learning; competition (economics); computer simulation; decision analysis; learning; Markov chain; Monte Carlo analysis; numerical model; taxi transport; transportation policy",Article,"Final",,Scopus,2-s2.0-85076866879
"Hitomi K., Matsui K., Rivas A., Corchado J.M.","57209749083;56239039500;57195304326;7006360842;","Development of a dangerous driving suppression system using inverse reinforcement learning and blockchain",2020,"Advances in Intelligent Systems and Computing","1003",,,"3","9",,,"10.1007/978-3-030-23887-2_1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068624697&doi=10.1007%2f978-3-030-23887-2_1&partnerID=40&md5=782181af9063b264dab444a5c630e966","Faculty of Robotics and Design, Osaka Institute of Technology, Osaka, Japan; BISITE Digital Innovation Hub, University of Salamanca, Salamanca, Spain","Hitomi, K., Faculty of Robotics and Design, Osaka Institute of Technology, Osaka, Japan; Matsui, K., Faculty of Robotics and Design, Osaka Institute of Technology, Osaka, Japan; Rivas, A., BISITE Digital Innovation Hub, University of Salamanca, Salamanca, Spain; Corchado, J.M., BISITE Digital Innovation Hub, University of Salamanca, Salamanca, Spain","Blockchain; Inverse reinforcement learning; Safe driving","Accidents; Blockchain; Cameras; Distributed computer systems; Machine learning; Competitive spirit; Dangerous drivings; Inverse reinforcement learning; Reckless driving; Safe driving; Significance levels; Suppression systems; System development; Reinforcement learning",Conference Paper,"Final",,Scopus,2-s2.0-85068624697
"Yusukc N., Sachiyo A.","57213189390;57213188460;","Bavesian inverse reinforcement learning for demonstrations of an expert in multiple dynamics: Toward estimation of transferable reward",2020,"Transactions of the Japanese Society for Artificial Intelligence","35","1",,"","",,,"10.1527/tjsai.G-J73","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077677208&doi=10.1527%2ftjsai.G-J73&partnerID=40&md5=44fa9fa4fdcd2aa091ba951e2cf4703b","Department of Urban Environment Systems, Graduate School of Science and Engineering, Chiba University, Japan; Department of Urban Environment Systems, Graduate School of Engineering, Chiba University, Japan","Yusukc, N., Department of Urban Environment Systems, Graduate School of Science and Engineering, Chiba University, Japan; Sachiyo, A., Department of Urban Environment Systems, Graduate School of Engineering, Chiba University, Japan","Bayesian inference; Inverse reinforcement learning; Markov decision processes; Reinforcement learning","Bayesian networks; Demonstrations; Inference engines; Inverse problems; Learning algorithms; Machine learning; Markov processes; Monte Carlo methods; Bayesian inference; Driving tasks; Inverse reinforcement learning; Learning problem; Markov chain Monte Carlo method; Markov Decision Processes; Objective functions; Reward function; Reinforcement learning",Article,"Final",Open Access,Scopus,2-s2.0-85077677208
"Li Y., Huang W.","56193387600;57211978130;","Imitation learning from human-generated spatial-temporal data",2019,"Proceedings of the 3rd ACM SIGSPATIAL International Workshop on AI for Geographic Knowledge Discovery, GeoAI 2019",,,,"9","10",,,"10.1145/3356471.3365229","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075586727&doi=10.1145%2f3356471.3365229&partnerID=40&md5=48816d3a30696563291964389c156b21","Worcester Polytechnic Institute, United States","Li, Y., Worcester Polytechnic Institute, United States; Huang, W., Worcester Polytechnic Institute, United States","Human-generated spatial-temporal data; Imitation learning; Inverse reinforcement learning","Decision making; Learning algorithms; Decision-making strategies; Human decision making; Imitation learning; Inverse reinforcement learning; Research challenges; Spatial temporals; Spatial-temporal data; State of the art; Reinforcement learning",Conference Paper,"Final",Open Access,Scopus,2-s2.0-85075586727
"Hidaka K., Hayakawa K., Nishi T., Usui T., Yamamoto T.","57195234027;15047971700;57205550400;57211070410;55703202800;","Generating pedestrian walking behavior considering detour and pause in the path under space-time constraints",2019,"Transportation Research Part C: Emerging Technologies","108",,,"115","129",,,"10.1016/j.trc.2019.09.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072558066&doi=10.1016%2fj.trc.2019.09.005&partnerID=40&md5=7fc436530a474ca4c79d672095d38f88","Toyota Central R&D Labs., Inc., 41-1, Yokomichi, Nagakute, Aichi, Japan; Toyota Central R&D Labs., Inc., Koraku Mori Building 10F, 1-4-14 Koraku, Bunkyo-ku, Tokyo, Japan; University of Human Environments, 6-2, Kamisanbonmatsu, Motojuku-cho, Okazaki, Japan; Nagoya University Institute of Materials and Systems for Sustainability, Furo-cho, Chikusa-ku, Nagoya, Japan","Hidaka, K., Toyota Central R&D Labs., Inc., 41-1, Yokomichi, Nagakute, Aichi, Japan; Hayakawa, K., Toyota Central R&D Labs., Inc., Koraku Mori Building 10F, 1-4-14 Koraku, Bunkyo-ku, Tokyo, Japan; Nishi, T., Toyota Central R&D Labs., Inc., Koraku Mori Building 10F, 1-4-14 Koraku, Bunkyo-ku, Tokyo, Japan; Usui, T., University of Human Environments, 6-2, Kamisanbonmatsu, Motojuku-cho, Okazaki, Japan; Yamamoto, T., Nagoya University Institute of Materials and Systems for Sustainability, Furo-cho, Chikusa-ku, Nagoya, Japan","Inverse reinforcement learning; Pedestrian behavior modeling; Space-time constraints; Trajectory generation","Inverse problems; Machine learning; Stochastic systems; Trajectories; Goal-oriented behavior; Inverse reinforcement learning; Location-aware technology; Pedestrian behavior model; Pedestrian trajectories; Points of Interest(POI); Space time; Trajectory generation; Reinforcement learning; inverse analysis; learning; pedestrian; public space; spatiotemporal analysis; urban transport; walking",Article,"Final",,Scopus,2-s2.0-85072558066
"Rivera-Villicana J., Zambetta F., Harland J., Berry M.","56415008400;6507963260;7005796007;13006225500;","Exploring apprenticeship learning for player modelling in interactive narratives",2019,"CHI PLAY 2019 - Extended Abstracts of the Annual Symposium on Computer-Human Interaction in Play",,,,"645","652",,,"10.1145/3341215.3356314","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074810571&doi=10.1145%2f3341215.3356314&partnerID=40&md5=b59d41d47bde855b478470d8d907dab4","Applied Artificial Intelligence Institute (A2I2, Deakin University, Burwood, VIC, Australia; School of Science, RMIT University, Melbourne, VIC, Australia; School of Media and Communication, RMIT University, Melbourne, VIC, Australia","Rivera-Villicana, J., Applied Artificial Intelligence Institute (A2I2, Deakin University, Burwood, VIC, Australia, School of Science, RMIT University, Melbourne, VIC, Australia; Zambetta, F., School of Science, RMIT University, Melbourne, VIC, Australia; Harland, J., School of Science, RMIT University, Melbourne, VIC, Australia; Berry, M., School of Media and Communication, RMIT University, Melbourne, VIC, Australia","Anchorhead; Apprenticeship Learning; Interactive Narratives; Inverse Reinforcement Learning; Player Modelling","Apprentices; Human computer interaction; Interactive computer systems; Action sequences; Anchorhead; Apprenticeship learning; Interactive fiction; Interactive narrative; Inverse reinforcement learning; Receding horizon; Reward function; Reinforcement learning",Conference Paper,"Final",Open Access,Scopus,2-s2.0-85074810571
"Sun R., Hu S., Zhao H., Moze M., Aioun F., Guillemard F.","57212482840;57212480046;35723299400;15925903800;57190282434;11138805900;","Human-like Highway Trajectory Modeling based on Inverse Reinforcement Learning",2019,"2019 IEEE Intelligent Transportation Systems Conference, ITSC 2019",,, 8916970,"1482","1489",,,"10.1109/ITSC.2019.8916970","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076817726&doi=10.1109%2fITSC.2019.8916970&partnerID=40&md5=0b1c3910668462c02e960091c577bb64","Peking University, Key Lab of Machine Perception, Beijing, China; Groupe PSA, Velizy, France","Sun, R., Peking University, Key Lab of Machine Perception, Beijing, China; Hu, S., Peking University, Key Lab of Machine Perception, Beijing, China; Zhao, H., Peking University, Key Lab of Machine Perception, Beijing, China; Moze, M., Groupe PSA, Velizy, France; Aioun, F., Groupe PSA, Velizy, France; Guillemard, F., Groupe PSA, Velizy, France",,"Autonomous vehicles; Behavioral research; Deep learning; Intelligent systems; Intelligent vehicle highway systems; Machine learning; Mapping; Reinforcement learning; Trajectories; Autonomous driving; Behavior patterns; Cutting edge technology; Experimental validations; Human-like trajectory; Inverse reinforcement learning; State-of-the-art performance; Trajectory modeling; Inverse problems",Conference Paper,"Final",,Scopus,2-s2.0-85076817726
"Lin X., Adams S.C., Beling P.A.","57211939661;56954203500;6603732790;","Multi-agent inverse reinforcement learning for certain general-sum stochastic games",2019,"Journal of Artificial Intelligence Research","66",,,"473","502",,,"10.1613/jair.1.11541","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075421977&doi=10.1613%2fjair.1.11541&partnerID=40&md5=827863ba9b393daba2a36fc860008d66","Data Science, MassMutual Financial Group, 470 Atlantic Ave., Boston, MA  02210, United States; University of Virginia, Charlottesville, VA  22904, United States","Lin, X., Data Science, MassMutual Financial Group, 470 Atlantic Ave., Boston, MA  02210, United States, University of Virginia, Charlottesville, VA  22904, United States; Adams, S.C., University of Virginia, Charlottesville, VA  22904, United States; Beling, P.A., University of Virginia, Charlottesville, VA  22904, United States",,"Computation theory; Convex optimization; Game theory; Linear programming; Machine learning; Multi agent systems; Reinforcement learning; Stochastic systems; Characteristic set; Convex optimization problems; Cooperative strategy; Correlated equilibria; General-sum stochastic games; Inverse reinforcement learning; Linear programming problem; Solution uniqueness; Inverse problems",Article,"Final",Open Access,Scopus,2-s2.0-85075421977
"Xin L., Li S.E., Wang P., Cao W., Nie B., Chan C.-Y., Cheng B.","55343655300;15065803700;56193114700;57212480181;56896875900;7404814589;36611317200;","Accelerated Inverse Reinforcement Learning with Randomly Pre-sampled Policies for Autonomous Driving Reward Design",2019,"2019 IEEE Intelligent Transportation Systems Conference, ITSC 2019",,, 8916952,"2757","2764",,,"10.1109/ITSC.2019.8916952","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076813251&doi=10.1109%2fITSC.2019.8916952&partnerID=40&md5=cdaf83297d647c8db8c194bdb46f7ed6","Tsinghua University, State Key Laboratory of Automotive Safety and Energy, School of Vehicle and Mobility, Beijing, 100084, China; California PATH, University of California, Berkeley, Richmond, CA  94804, United States","Xin, L., Tsinghua University, State Key Laboratory of Automotive Safety and Energy, School of Vehicle and Mobility, Beijing, 100084, China; Li, S.E., Tsinghua University, State Key Laboratory of Automotive Safety and Energy, School of Vehicle and Mobility, Beijing, 100084, China; Wang, P., California PATH, University of California, Berkeley, Richmond, CA  94804, United States; Cao, W., Tsinghua University, State Key Laboratory of Automotive Safety and Energy, School of Vehicle and Mobility, Beijing, 100084, China; Nie, B., Tsinghua University, State Key Laboratory of Automotive Safety and Energy, School of Vehicle and Mobility, Beijing, 100084, China; Chan, C.-Y., California PATH, University of California, Berkeley, Richmond, CA  94804, United States; Cheng, B., Tsinghua University, State Key Laboratory of Automotive Safety and Energy, School of Vehicle and Mobility, Beijing, 100084, China","Autonomous driving; Inverse reinforcement learning; Maximum entropy; Pre-sampled policy; Reward design","Autonomous vehicles; Efficiency; Intelligent systems; Intelligent vehicle highway systems; Inverse problems; Machine learning; Maximum entropy methods; Trajectories; Autonomous driving; Candidate trajectories; Improving learning; Inverse reinforcement learning; Optimal policies; Optimal trajectories; Reward function; Simulated driving; Reinforcement learning",Conference Paper,"Final",,Scopus,2-s2.0-85076813251
